frame,car,truck,tid,ioa
1,1,0,1,0.3931
1,1,0,3,0.0
1,1,0,4,0.0
1,1,0,11,0.0
2,1,0,1,0.394
2,1,0,3,0.0
2,1,0,4,0.0
2,1,0,11,0.0
3,1,0,1,0.3953
3,1,0,3,0.0
3,1,0,4,0.0
3,1,0,11,0.0
4,1,0,1,0.3914
4,1,0,3,0.0
4,1,0,4,0.0
4,1,0,11,0.0
5,1,0,1,0.4003
5,1,0,3,0.0
5,1,0,4,0.0
5,1,0,11,0.0
6,1,0,1,0.4045
6,1,0,3,0.0
6,1,0,4,0.0
6,1,0,11,0.0
7,1,0,1,0.4021
7,1,0,3,0.0
7,1,0,4,0.0
7,1,0,11,0.0
8,1,0,1,0.4074
8,1,0,3,0.0
8,1,0,4,0.0
8,1,0,11,0.0
9,1,0,1,0.4709
9,1,0,3,0.0
9,1,0,4,0.0
9,1,0,11,0.0
10,1,0,1,0.4921
10,1,0,3,0.0
10,1,0,4,0.0
10,1,0,11,0.0
11,1,0,1,0.4984
11,1,0,3,0.0
11,1,0,4,0.0
11,1,0,11,0.0
12,1,0,1,0.499
12,1,0,3,0.0
12,1,0,4,0.0
12,1,0,11,0.0
13,1,0,1,0.5035
13,1,0,3,0.0
13,1,0,4,0.0
13,1,0,11,0.0
14,1,0,1,0.5094
14,1,0,3,0.0
14,1,0,4,0.0
14,1,0,11,0.0
15,1,0,1,0.4634
15,1,0,3,0.0
15,1,0,4,0.0
15,1,0,11,0.0
16,1,0,1,0.4482
16,1,0,3,0.0
16,1,0,4,0.0
16,1,0,11,0.0
16,1,0,15,0.0
17,1,0,1,0.445
17,1,0,3,0.0
17,1,0,4,0.0
17,1,0,11,0.0
17,1,0,15,0.0
18,1,0,1,0.4445
18,1,0,3,0.0
18,1,0,4,0.0
18,1,0,11,0.0
18,1,0,15,0.0
19,1,0,1,0.3941
19,1,0,3,0.0
19,1,0,4,0.0
19,1,0,11,0.0
20,1,0,1,0.3731
20,1,0,3,0.0
20,1,0,4,0.0
20,1,0,11,0.0
21,1,0,1,0.3653
21,1,0,3,0.0
21,1,0,4,0.0
21,1,0,11,0.0
22,1,0,1,0.3629
22,1,0,3,0.0
22,1,0,4,0.0
22,1,0,11,0.0
23,1,0,1,0.3622
23,1,0,3,0.0
23,1,0,4,0.0
23,1,0,11,0.0
24,1,0,1,0.3618
24,1,0,3,0.0
24,1,0,4,0.0
24,1,0,11,0.0
25,1,0,1,0.3627
25,1,0,3,0.0
25,1,0,4,0.0
25,1,0,11,0.0
26,1,0,1,0.3626
26,1,0,3,0.0
26,1,0,4,0.0
26,1,0,11,0.0
27,1,0,1,0.3809
27,1,0,3,0.0
27,1,0,4,0.0
28,1,0,1,0.387
28,1,0,3,0.0
28,1,0,4,0.0
29,1,0,1,0.3897
29,1,0,3,0.0
29,1,0,4,0.0
30,1,0,1,0.3871
30,1,0,3,0.0
30,1,0,4,0.0
31,1,0,1,0.3849
31,1,0,3,0.0
31,1,0,4,0.0
32,1,0,1,0.3887
32,1,0,3,0.0
32,1,0,4,0.0
33,1,0,1,0.3909
33,1,0,3,0.0
33,1,0,4,0.0
34,1,0,1,0.3891
34,1,0,3,0.0
34,1,0,4,0.0
35,1,0,1,0.3868
35,1,0,3,0.0
35,1,0,4,0.0
36,1,0,1,0.313
36,1,0,3,0.0
36,1,0,4,0.0
37,1,0,1,0.2812
37,1,0,3,0.0
37,1,0,4,0.0
38,1,0,1,0.2693
38,1,0,3,0.0
38,1,0,4,0.0
39,1,0,1,0.265
39,1,0,3,0.0
39,1,0,4,0.0
40,1,0,1,0.2635
40,1,0,3,0.0
40,1,0,4,0.0
41,1,0,1,0.2631
41,1,0,3,0.0
41,1,0,4,0.0
42,1,0,1,0.263
42,1,0,3,0.0
42,1,0,4,0.0
43,1,0,1,0.2631
43,1,0,3,0.0
43,1,0,4,0.0
44,1,0,1,0.3175
44,1,0,3,0.0
44,1,0,4,0.0
45,1,0,1,0.3367
45,1,0,3,0.0
45,1,0,4,0.0
46,1,0,1,0.3451
46,1,0,3,0.0
46,1,0,4,0.0
47,1,0,1,0.3476
47,1,0,3,0.0
47,1,0,4,0.0
48,1,0,1,0.3488
48,1,0,3,0.0
48,1,0,4,0.0
49,1,0,1,0.3458
49,1,0,3,0.0
49,1,0,4,0.0
50,1,0,1,0.3481
50,1,0,3,0.0
50,1,0,4,0.0
51,1,0,1,0.3471
51,1,0,3,0.0
51,1,0,4,0.0
52,1,0,1,0.3503
52,1,0,3,0.0
52,1,0,4,0.0
53,1,0,1,0.3662
53,1,0,3,0.0
53,1,0,4,0.0
54,1,0,1,0.3718
54,1,0,3,0.0
54,1,0,4,0.0
55,1,0,1,0.3852
55,1,0,3,0.0
55,1,0,4,0.0
56,1,0,1,0.388
56,1,0,3,0.0
56,1,0,4,0.0
57,1,0,1,0.39
57,1,0,3,0.0
57,1,0,4,0.0
58,1,0,1,0.3906
58,1,0,3,0.0
58,1,0,4,0.0
59,1,0,1,0.39
59,1,0,3,0.0
59,1,0,4,0.0
60,1,0,1,0.3911
60,1,0,3,0.0
60,1,0,4,0.0
61,1,0,1,0.3903
61,1,0,3,0.0
61,1,0,4,0.0
62,1,0,1,0.4287
62,1,0,3,0.0
62,1,0,4,0.0
63,1,0,1,0.4418
63,1,0,3,0.0
63,1,0,4,0.0
64,1,0,1,0.4462
64,1,0,3,0.0
64,1,0,4,0.0
65,1,0,1,0.4475
65,1,0,3,0.0
65,1,0,4,0.0
66,1,0,1,0.4477
66,1,0,3,0.0
66,1,0,4,0.0
67,1,0,1,0.4479
67,1,0,3,0.0
67,1,0,4,0.0
68,1,0,1,0.486
68,1,0,3,0.0
68,1,0,4,0.0
69,0,0,1,0.4402
69,0,0,3,0.0
69,0,0,4,0.0
70,0,0,1,0.4226
70,0,0,3,0.0
70,0,0,4,0.0
